model,params,val_acc,val_macro_f1,test_acc,test_macro_f1
LogReg,{'C': 1.0},1.0,1.0,1.0,1.0
LogReg,{'C': 10.0},1.0,1.0,,
LogReg,{'C': 100.0},1.0,1.0,,
SVM_RBF,"{'C': 0.1, 'gamma': 'scale'}",1.0,1.0,,
SVM_RBF,"{'C': 1.0, 'gamma': 'scale'}",1.0,1.0,,
SVM_RBF,"{'C': 1.0, 'gamma': 0.01}",1.0,1.0,,
SVM_RBF,"{'C': 1.0, 'gamma': 0.1}",1.0,1.0,,
SVM_RBF,"{'C': 10.0, 'gamma': 'scale'}",1.0,1.0,,
SVM_RBF,"{'C': 10.0, 'gamma': 0.01}",1.0,1.0,,
SVM_RBF,"{'C': 10.0, 'gamma': 0.1}",1.0,1.0,,
RF,"{'n_estimators': 200, 'max_depth': None}",1.0,1.0,,
RF,"{'n_estimators': 200, 'max_depth': 10}",1.0,1.0,,
RF,"{'n_estimators': 200, 'max_depth': 20}",1.0,1.0,,
RF,"{'n_estimators': 500, 'max_depth': None}",1.0,1.0,,
RF,"{'n_estimators': 500, 'max_depth': 10}",1.0,1.0,,
RF,"{'n_estimators': 500, 'max_depth': 20}",1.0,1.0,,
LogReg,{'C': 0.1},0.990909090909091,0.9908902691511386,,
SVM_RBF,"{'C': 0.1, 'gamma': 0.01}",0.990909090909091,0.9908902691511386,,
SVM_RBF,"{'C': 0.1, 'gamma': 0.1}",0.990909090909091,0.9908902691511386,,
SVM_RBF,"{'C': 1.0, 'gamma': 1.0}",0.990909090909091,0.9908902691511386,,
SVM_RBF,"{'C': 10.0, 'gamma': 1.0}",0.990909090909091,0.9908902691511386,,
LogReg,{'C': 0.01},0.9636363636363636,0.9614299516908213,,
SVM_RBF,"{'C': 0.1, 'gamma': 1.0}",0.9363636363636364,0.9415763546798029,,
